contract_name,index,add_gas_used,add_time,delete_gas_used,delete_time
BasicContract,0,24904,606.0969829559326,21192,351.62353515625
LightweightContract,0,25348,432.4157238006592,21192,387.70246505737305
BasicContract,1,24808,400.3894329071045,21204,335.13593673706055
LightweightContract,1,25252,389.15252685546875,21204,416.02301597595215
BasicContract,2,24868,302.81710624694824,21204,340.0843143463135
LightweightContract,2,25312,381.8662166595459,21204,339.25700187683105
BasicContract,3,25000,452.9261589050293,21204,419.1315174102783
LightweightContract,3,25444,401.16238594055176,21204,350.100040435791
BasicContract,4,24844,426.04541778564453,21204,390.8216953277588
LightweightContract,4,25288,373.5814094543457,21204,393.6595916748047
BasicContract,5,24880,381.5946578979492,21204,358.5705757141113
LightweightContract,5,25324,319.957971572876,21204,418.07103157043457
BasicContract,6,24820,431.5934181213379,21204,355.93509674072266
LightweightContract,6,25264,349.6220111846924,21204,401.23724937438965
BasicContract,7,24856,426.17106437683105,21204,371.9804286956787
LightweightContract,7,25300,381.6683292388916,21204,397.8536128997803
BasicContract,8,24880,428.4555912017822,21204,369.5833683013916
LightweightContract,8,25324,385.26082038879395,21204,340.56544303894043
BasicContract,9,24952,370.01633644104004,21204,385.09511947631836
LightweightContract,9,25396,385.9219551086426,21204,402.9886722564697
BasicContract,10,25096,384.1052055358887,21204,384.72533226013184
LightweightContract,10,25540,336.1208438873291,21204,339.9319648742676
BasicContract,11,25344,336.74001693725586,21204,369.7021007537842
LightweightContract,11,25788,389.97650146484375,21204,355.7908535003662
BasicContract,12,24880,372.73120880126953,21204,351.4065742492676
LightweightContract,12,25324,350.3737449645996,21204,277.18281745910645
