contract_name,index,add_gas_used,add_time,delete_gas_used,delete_time
BasicContract,0,24904,479.92539405822754,21192,479.2611598968506
LightweightContract,0,25348,365.67020416259766,21192,364.0604019165039
BasicContract,1,24808,319.21911239624023,21204,355.5262088775635
LightweightContract,1,25252,408.94627571105957,21204,413.4032726287842
BasicContract,2,24868,382.08532333374023,21204,377.0418167114258
LightweightContract,2,25312,366.4507865905762,21204,394.3357467651367
BasicContract,3,25000,354.34412956237793,21204,440.7358169555664
LightweightContract,3,25444,623.2860088348389,21204,715.3503894805908
BasicContract,4,24844,967.217206954956,21204,639.5859718322754
LightweightContract,4,25288,788.0573272705078,21204,945.349931716919
BasicContract,5,24880,855.3879261016846,21204,417.3867702484131
LightweightContract,5,25324,609.8976135253906,21204,474.2119312286377
BasicContract,6,24820,406.29076957702637,21204,393.15295219421387
LightweightContract,6,25264,405.84635734558105,21204,464.6151065826416
BasicContract,7,24856,383.46028327941895,21204,399.2502689361572
LightweightContract,7,25300,403.66148948669434,21204,392.270565032959
BasicContract,8,24880,398.745059967041,21204,508.84175300598145
LightweightContract,8,25324,371.38962745666504,21204,402.6224613189697
BasicContract,9,24952,354.07352447509766,21204,340.5575752258301
LightweightContract,9,25396,407.90343284606934,21204,459.2165946960449
BasicContract,10,25096,431.16021156311035,21204,440.74082374572754
LightweightContract,10,25540,600.3825664520264,21204,611.555814743042
BasicContract,11,25344,419.64077949523926,21204,346.37451171875
LightweightContract,11,25788,432.6786994934082,21204,414.5994186401367
BasicContract,12,24880,367.2482967376709,21204,366.73808097839355
LightweightContract,12,25324,382.57503509521484,21204,370.45860290527344
